Hodnoty pro confidence interval,,,,,,,,,,,,,,Doba,,,,,,,,,,,,,,,,,,,,
z,,"mam 5 stupnu volnosti  a confidence pro 0,975 -> tj. interval 0,95",,,,Nasobitel,100,,,,,,,"pro 25 embedingu, 1 iterace trvala 25 minut",,,,,,,,,,,,,,,,,,,,
2.2622,,,,,,,,,,,,,,,,5 iteraci,,,,,,,,,,,,,,,,,,
Pocet examplu,,,,,,,,,,,,,,tj. 6 * 25,150,750,"cca 12,5 hodin",,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.648,0.656,0.595,0.792,0.625,0.613,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.391,0.257,0.65,0.1,0.556,,1,fasttext,50,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.639,0.63,0.595,0.771,0.475,0.677,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.396,0.248,0.724,0.114,0.497,,1,fasttext,50,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.656,0.659,0.649,0.792,0.55,0.645,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.45,0.361,0.712,0.189,0.54,,1,fasttext,50,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.628,0.632,0.595,0.771,0.55,0.613,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.387,0.267,0.727,0.16,0.396,,1,fasttext,50,5,5,,,cosine,1
,Avg:,65.130,64.890,61.660,77.510,54.250,66.120,83.300,,,,,,,,,,Avg:,,40.420,29.410,69.390,14.310,48.570,,,,,,,,,,
,Std:,1.268,1.197,4.148,3.343,4.617,3.308,0.000,,,,,,,,,,Std:,,1.859,5.726,2.890,5.057,4.831,,,,,,,,,,
,Confidence:,0.907,0.856,2.967,2.391,3.303,2.367,0.000,,,,,,,,,,Confidence:,,1.330,4.096,2.068,3.618,3.456,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.615,0.607,0.595,0.688,0.5,0.645,0.889,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.448,0.339,0.675,0.26,0.518,,1,fasttext,75,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.693,0.681,0.649,0.708,0.625,0.742,0.833,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.423,0.327,0.601,0.273,0.49,,1,fasttext,75,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.677,0.669,0.649,0.667,0.65,0.71,0.889,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.393,0.218,0.552,0.221,0.582,,1,fasttext,75,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.63,0.626,0.595,0.688,0.575,0.645,0.833,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.436,0.297,0.651,0.257,0.541,,1,fasttext,75,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.624,0.627,0.649,0.646,0.6,0.613,0.889,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.415,0.334,0.567,0.263,0.497,,1,fasttext,75,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.634,0.623,0.676,0.688,0.45,0.677,0.833,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.387,0.281,0.58,0.209,0.478,,1,fasttext,75,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.618,0.619,0.649,0.688,0.525,0.613,0.833,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.426,0.276,0.644,0.245,0.54,,1,fasttext,75,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.643,0.635,0.649,0.688,0.525,0.677,0.889,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.436,0.382,0.629,0.238,0.496,,1,fasttext,75,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.637,0.635,0.649,0.646,0.6,0.645,0.833,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.473,0.317,0.648,0.381,0.545,,1,fasttext,75,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.66,0.656,0.703,0.667,0.575,0.677,0.889,1,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.428,0.377,0.566,0.234,0.533,,1,fasttext,75,5,5,,,cosine,1
,Avg:,64.310,63.780,64.630,67.740,56.250,66.440,86.100,,,,,,,,,,Avg:,,42.650,31.480,61.130,25.810,52.200,,,,,,,,,,
,Std:,2.450,2.228,3.067,1.920,5.836,3.872,2.800,,,,,,,,,,Std:,,2.374,4.672,4.121,4.505,3.035,,,,,,,,,,
,Confidence:,1.752,1.594,2.194,1.374,4.175,2.770,2.003,,,,,,,,,,Confidence:,,1.698,3.342,2.948,3.223,2.171,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.604,0.609,0.649,0.708,0.5,0.581,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.44,0.396,0.689,0.227,0.447,,1,fasttext,250,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.606,0.588,0.486,0.688,0.5,0.677,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.396,0.253,0.641,0.206,0.483,,1,fasttext,250,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.627,0.614,0.541,0.688,0.55,0.677,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.403,0.322,0.629,0.208,0.454,,1,fasttext,250,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.625,0.612,0.514,0.708,0.55,0.677,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.368,0.263,0.701,0.064,0.442,,1,fasttext,250,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.599,0.595,0.514,0.729,0.525,0.613,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.359,0.212,0.622,0.14,0.462,,1,fasttext,250,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.628,0.632,0.595,0.771,0.55,0.613,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.427,0.415,0.685,0.107,0.502,,1,fasttext,250,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.616,0.608,0.514,0.75,0.525,0.645,0.889,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.409,0.301,0.643,0.199,0.493,,1,fasttext,250,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.638,0.636,0.595,0.729,0.575,0.645,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.378,0.27,0.659,0.152,0.429,,1,fasttext,250,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.602,0.599,0.568,0.667,0.55,0.613,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.364,0.306,0.642,0.088,0.422,,1,fasttext,250,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=250, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.614,0.614,0.514,0.729,0.6,0.613,0.833,1,fasttext,250,5,5,1,0,cosine,1,Rank overview,,0.406,0.34,0.688,0.154,0.443,,1,fasttext,250,5,5,,,cosine,1
,Avg:,61.590,61.070,54.900,71.670,54.250,63.540,83.860,,,,,,,,,,Avg:,,39.500,30.780,65.990,15.450,45.770,,,,,,,,,,
,Std:,1.250,1.423,4.850,2.963,2.969,3.216,1.680,,,,,,,,,,Std:,,2.590,6.015,2.704,5.276,2.560,,,,,,,,,,
,Confidence:,0.894,1.018,3.470,2.120,2.124,2.301,1.202,,,,,,,,,,Confidence:,,1.853,4.303,1.934,3.774,1.832,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
