Hodnoty pro confidence interval,,,,,,,,,,,,,,Doba,,,,,,,,,,,,,,,,,,,,
z,,"mam 5 stupnu volnosti  a confidence pro 0,975 -> tj. interval 0,95",,,,Nasobitel,100,,,,,,,"pro 25 embedingu, 1 iterace trvala 25 minut",,,,,,,,,,,,,,,,,,,,
2.2622,,,,,,,,,,,,,,,,5 iteraci,,,,,,,,,,,,,,,,,,
Pocet examplu,,,,,,,,,,,,,,tj. 6 * 25,150,750,"cca 12,5 hodin",,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.606,0.588,0.514,0.688,0.475,0.677,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.389,0.248,0.435,0.289,0.585,,0,fasttext,75,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.649,0.634,0.568,0.708,0.55,0.71,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.457,0.432,0.497,0.318,0.581,,0,fasttext,75,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.623,0.61,0.541,0.646,0.575,0.677,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.43,0.329,0.482,0.378,0.53,,0,fasttext,75,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.62,0.614,0.568,0.667,0.575,0.645,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.462,0.376,0.483,0.369,0.621,,0,fasttext,75,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.624,0.61,0.514,0.625,0.625,0.677,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.434,0.262,0.47,0.374,0.629,,0,fasttext,75,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.681,0.658,0.514,0.667,0.675,0.774,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.448,0.339,0.498,0.414,0.542,,0,fasttext,75,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.672,0.654,0.568,0.708,0.6,0.742,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.451,0.311,0.521,0.404,0.569,,0,fasttext,75,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.634,0.615,0.541,0.708,0.5,0.71,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.453,0.347,0.516,0.356,0.593,,0,fasttext,75,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.606,0.589,0.595,0.583,0.5,0.677,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.413,0.386,0.474,0.259,0.532,,0,fasttext,75,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=75, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.624,0.61,0.568,0.646,0.55,0.677,0.889,0,fasttext,75,5,5,1,0,cosine,1,Rank overview,,0.417,0.434,0.462,0.246,0.527,,0,fasttext,75,5,5,,,cosine,1
